AU,INST,DOI
BERRY A;RODRIGUEZ E;SANDEE H,UNIVERSITY OF TORONTO;FREE UNIVERSITY,10.1023/A:1015186023309
STAPLES DS;WONG I;SEDDON PB,QUEEN'S UNIVERSITY;UNIVERSITY OF MELBOURNE,10.1016/S0378-7206(01)00138-0
LIN X;GUAN J,UNIVERSITY OF WINDSOR;PA STATE UNIVERSITY-DELAWARE COUNTY,10.1300/J026v20n02_04
HUI MK;ZHOU L,CHINESE UNIVERSITY OF HONG KONG;UNIVERSITY OF GUELPH,10.1300/J042v15n03_05
CHELARIU C;OUATTARRA A;DADZIE KQ,YORK UNIVERSITY;UNIVERSITE COCODY;GEORGIA STATE UNIVERSITY,10.1108/08858620210442811
ABDU H;LUTFIYYA H;BAUER MA,UNIVERSITY OF MICHIGAN - DEARBORN;UNIVERSITY OF WESTERN ONTARIO;UNIVERSITY OF MICHIGAN - DEARBORN,10.1023/A:1021116306389
CHAKRAVARTI D;GREENLEAF E;SINHA A;CHEEMA A;COX JC;FRIEDMAN D;HO T;ISAAC RM;MITCHELL AA;RAPOPORT A;ROTHKOPF MH;SRIVASTAVA J;ZWICK R,UNIVERSITY OF COLORADO;UNIVERSITY OF COLORADO;NEW YORK UNIVERSITY;UNIVERSITY OF ARIZONA;UNIVERSITY OF CALIFORNIA;UNIVERSITY OF PENNSYLVANIA;UNIVERSITY OF TORONTO;RUTGERS UNIVERSITY;UNIVERSITY OF CALIFORNIA;HONG KONG UNIV. OF SCI. AND TECHNOL.,10.1023/A:1020399513113
EDEN L;MOLOT MA,TEXAS AANDM UNIVERSITY;CARLETON UNIVERSITY,10.1016/S1075-4253(02)00095-9
KAHYAOGLU Y;KAYALIGIL S;BUZACOTT JA,BOGAZICI UNIVERSITY;MIDDLE EAST TECHNICAL UNIVERSITY;YORK UNIVERSITY,10.1080/00207540210152902
BAYNAT B;BUZACOTT JA;DALLERY Y,PLACE JUSSIEU;YORK UNIVERSITY;ECOLE CENTRALE PARIS,10.1080/00207540210146198
